gene	SRR5575407	SRR5575408	SRR5575409	SRR5575410	SRR5575413	SRR5575598	SRR5575599	SRR5575605	SRR5575606	SRR7716235	SRR7716244	SRR7716245	SRR7716246	SRR7716247
SRR5575407_k141_107220_3	634.0	0.0	347.0	600.0	10.0	149.0	0.0	288.0	3.0	301.0	183.0	0.0	540.0	151.0
SRR5575407_k141_107224_1	107.0	0.0	205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0
SRR5575407_k141_107224_10	66.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	2.0	0.0	0.0
SRR5575407_k141_107224_11	155.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	0.0	2.0	0.0
SRR5575407_k141_107224_12	184.0	0.0	347.0	106.0	0.0	47.0	0.0	181.0	37.0	0.0	333.0	0.0	12.0	28.0
SRR5575407_k141_107224_14	55.0	0.0	5.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	13.0
SRR5575407_k141_107224_15	19.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0
SRR5575407_k141_107224_16	62.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	70.0	0.0	0.0	0.0
SRR5575407_k141_107224_17	126.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0
SRR5575407_k141_107224_18	94.0	0.0	193.0	90.0	0.0	0.0	0.0	44.0	22.0	0.0	112.0	0.0	4.0	0.0
SRR5575407_k141_107224_19	226.0	0.0	453.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	363.0	0.0	2.0	0.0
SRR5575407_k141_107224_2	66.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	0.0
SRR5575407_k141_107224_20	111.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	111.0	0.0	0.0	0.0
SRR5575407_k141_107224_21	96.0	0.0	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0
SRR5575407_k141_107224_22	33.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107224_24	222.0	3.0	395.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	319.0	0.0	0.0	0.0
SRR5575407_k141_107224_3	74.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0
SRR5575407_k141_107224_4	72.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	109.0	0.0	2.0	0.0
SRR5575407_k141_107224_5	88.0	0.0	150.0	93.0	0.0	20.0	0.0	59.0	8.0	0.0	110.0	0.0	5.0	23.0
SRR5575407_k141_107224_6	72.0	0.0	96.0	44.0	0.0	14.0	0.0	35.0	0.0	0.0	104.0	0.0	4.0	6.0
SRR5575407_k141_107224_7	75.0	0.0	127.0	37.0	0.0	16.0	0.0	42.0	15.0	0.0	81.0	0.0	0.0	16.0
SRR5575407_k141_107224_8	28.0	0.0	45.0	29.0	0.0	0.0	0.0	32.0	9.0	0.0	39.0	0.0	2.0	0.0
SRR5575407_k141_107224_9	22.0	0.0	39.0	26.0	0.0	6.0	0.0	22.0	14.0	0.0	27.0	0.0	2.0	14.0
SRR5575407_k141_107225_2	156.0	0.0	493.0	94.0	3.0	55.0	8.0	27.0	29.0	259.0	298.0	4.0	107.0	427.0
SRR5575407_k141_107225_3	18.0	0.0	115.0	39.0	0.0	27.0	0.0	7.0	13.0	154.0	173.0	0.0	53.0	75.0
SRR5575407_k141_107225_4	52.0	0.0	246.0	81.0	0.0	59.0	0.0	12.0	15.0	252.0	336.0	2.0	88.0	138.0
SRR5575407_k141_107227_1	54.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
